description,price,details,rating,rate_by,image
SAMSUNG Chromebook 4+ 15.6 inch Intel Celeron Processor N4000 4GB RAM 32GB eMMC Intel UHD Graphics 600 - XE350XBA-K01US,$277.73,Free delivery,4.4,58 people,https://i5.walmartimages.com/asr/57928dd4-4b20-457a-b811-953891260594.5eb18f908357792836607002dc790e34.jpeg
"Lenovo 81JW0001US Chromebook S330, 14 inch HD Display, Mediatek MT8173C CPU 4GB RAM, 32GB eMMC SSD, Chrome OS, Black",$179.00,Free delivery,4.2,818 people,https://i5.walmartimages.com/asr/8a54d8c4-fe2b-45e5-a82d-5e7795cc3bbc_1.b62390d770a96572adaa9584f64bdfe2.jpeg
"HP 15DY1074NR 15 inch I3, 8GB, 256GB SSD, Windows 10",$494.00,Sold & shipped by Electronic ExpressFree delivery,4.3,6 people,https://i5.walmartimages.com/asr/dcea762a-3f61-4ba2-9419-43c370d59e44.d0ec2dd8a3fe3d95cf2acd63e56de799.jpeg
Dell Chromebook - 11.6 inch - Celeron N2840 - 4 GB RAM - 16 GB SSD - English (Refurbished),$129.00,"Sold & shipped by Coretek Enterprises, LLCFree delivery",3.2,231 people,https://i5.walmartimages.com/asr/daa7f805-91d3-495b-afb4-7e7bf6d1761b_1.5768712c9c8e86723679b2cf8147e019.jpeg
"Gateway 14.1 inch FHD Ultra Slim Notebook, Intel Core i5-1035G1, 16GB RAM, 256GB SSD, Tuned by THX Audio, Fingerprint Scanner, Webcam, HDMI, Cortana, Windows 10 Home",$399.00,2-day deliveryon orders $35+,3.8,204 people,https://i5.walmartimages.com/asr/2ac22d6f-f18a-485b-96a3-f07d002d3865.d467856c3693f0a86e5e682edb4728f2.jpeg
"Apple MacBook Pro 13.3 Intel Core 2 Duo 2.4GHz 4GB 250GB Laptop MC374LL/A, Silver Unibody (Certified Refurbished)",$447.99,Sold & shipped by iTechDealsFree delivery,3.4,58 people,https://i5.walmartimages.com/asr/17bff385-edf8-4508-b3a5-f2cf91b04f0e_1.330d83f61b0be10c08e127d141121756.png
HP 15.6 inch Pentium 4GB/500GB Laptop-Scarlet Red,$338.96,Pro sellerSold & shipped by TheBestOfTheWestFree delivery,4.2,747 people,https://i5.walmartimages.com/asr/23b38dae-a470-49df-bbda-8b240ccfbf63.7c74f660f10ded4cc96778f809cfb619.jpeg
"Acer Aspire 3 A315-56-594W, 15.6 inch Full HD, 10th Gen Intel Core i5-1035G1, 8GB DDR4, 256GB NVMe SSD, Windows 10 Home",$494.88,Sold & shipped by EZ TRADE INCFree delivery,4.2,182 people,https://i5.walmartimages.com/asr/e15677f0-6794-4dd8-8b7c-2f50e2f16bb0.7d4001cbb2d30c6b5ccb0d01aa35fb7f.jpeg
Refurbished Apple MacBook Air 11.6 inch LED Laptop 2GB 64GB SSD Core i5-2467M Dual Core 1.6GHz,$299.97,Sold & shipped by TekReplayFree delivery,2.9,8 people,https://i5.walmartimages.com/asr/15b2a0e4-7217-483f-b3fe-b2e68afda0f5.2bc7f1dbdf2e525beadeefd3e9d81314.jpeg
"HP 15-cs3153cl Pavilion 15.6 inch Touchscreen Laptop - 10th Gen Intel Core i5, 12 gb Memory, 512gb SSD,  Backlit keyboard, Windows 10",$694.99,Sold & shipped by Hooray StoreFree delivery,4.8,6 people,https://i5.walmartimages.com/asr/c4b41fd4-7a35-4c8c-8014-f4f7abed0674.98387c330e13076a910dd60ba162f098.jpeg
"Acer R13 Mediatek 2-in-1 Touch 4GB/64GB Chromebook, 13.3 inch FHD Touch Display, MediaTek MT8173C Quad-Core Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS - CB5-312T-K95W",$329.00,2-day deliveryon orders $35+Free pickup today,4.5,172 people,https://i5.walmartimages.com/asr/b40ba9ba-e2e0-4d4f-907c-ee24514de992_1.557bc5cf56f9b3d61f96fc98a6ebc3d4.jpeg
"HP X360 14 Celeron 2-in-1 Touch 4GB/64GB Chromebook-Teal, Intel Celeron N4000, 4GB RAM, 64 GB eMMC, Teal, 14a-ca0030wm",$299.00,2-day deliveryon orders $35+Free pickup today,4.2,465 people,https://i5.walmartimages.com/asr/32b41aca-ebd3-4fd2-93be-ff5996eca2cf.229f6be813827d70b010f43cac37b6a3.jpeg
"Lenovo Legion 5 Laptop, 17 inch FHD, Intel Core i7-10750H, 16GB RAM, 1TB HDD + 256GB SSD, NVIDIA GeForce GTX 1660Ti, Phantom Black, Windows 10, 81Y80057US","$1,152.00",Free delivery,4.8,465 people,https://i5.walmartimages.com/asr/12eb89f6-6e59-469e-97d8-a8e98ed3317c.a4c249db004cd318b8e4a43c40b8c6a4.jpeg
"Lenovo Legion 7 Laptop, 15 inch FHD, Intel Core i7-10750H, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 2070 Super MaxQ, Slate Grey, Windows 10, 81YT005TUS","$1,399.00",2-day deliveryon orders $35+,4.6,598 people,https://i5.walmartimages.com/asr/0b1fbf27-6667-4119-af59-5da7f1adc5ad.6e0570b5dd280e565feba84c5dbb1ac6.jpeg
"Acer Spin 3 Thin and Light Convertible 2-in-1, 14 inch HD Touch, AMD Ryzen 3 3250U Dual-Core Mobile Processor with Radeon Graphics, 4GB DDR4, 128GB NVMe SSD, Windows 10 in S mode, SP314-21-R56W",$369.00,2-day deliveryon orders $35+Free pickup today,4.4,81 people,https://i5.walmartimages.com/asr/4c096b1d-9cfe-4d98-a418-8ca79acc3351.3ba00edc0cee0f7964728324ae2dbf48.jpeg
"HP Pavilion Laptop 15.6 inch FHD, AMD Ryzen 5 3500U, AMD Radeon Vega 8, 8GB SDRAM, 1TB HDD+128GB SSD, 15-cw1063wm, Horizon Blue (Google Classroom Compatible)",$744.91,Pro sellerSold & shipped by ChicsMart (We record SN)Free delivery,4.4,1514 people,https://i5.walmartimages.com/asr/26160ce7-9ff9-4958-879c-aa7a0cd85248_1.f9f37c33531785923898078e79c58f5a.jpeg
HP 15.6 inch i3 Touch 8GB/256GB Laptop-Silver,$549.00,Pro sellerSold & shipped by BestDeal (SN Recorded)Free delivery,4.4,364 people,https://i5.walmartimages.com/asr/1edc3db5-1e1a-4103-89d7-761e519d02fb_1.d6f982e71bd1b33854c43e66ccef0584.jpeg
Lenovo Thinkpad in Black T420 HD 14 inch Intel Core i5 2520M (2.5GHz-3.2GHz) 4GB Memory 320GB Hard Drive Webcam Bluetooth DVD-RW Windows 10 Professional Laptop (Refurbished),$254.00,Sold & shipped by ZoomFree delivery,5.0,4 people,https://i5.walmartimages.com/asr/cda308b2-c347-45fe-ab37-30b3537e5372_1.f4ebd98414c11c44598075563b934317.jpeg
"Acer Swift 3 Laptop, 14 inch Full HD 1080p, AMD Ryzen 5 4500U Hexa-Core Processor, 8GB RAM, 256GB SSD, Fingerprint Reader, Back-lit Keyboard, Windows 10 Home, SF314-42-R0HP",$579.00,2-day deliveryon orders $35+,4.5,46 people,https://i5.walmartimages.com/asr/62597897-655e-4224-99b9-ca9c726d3c0a.fcf2fe4e907e7cb87a151503efee0cf8.jpeg
Apple MacBook Pro 13.3 inch Intel Dual Core i5 2.5GHz 4GB 500GB Laptop - MD101LLAn (Certified Refurbished),$399.97,Sold & shipped by TekReplayFree delivery,3.3,29 people,https://i5.walmartimages.com/asr/e58a9baa-039c-4c43-ada4-f98ba587a326_1.57915480c13db76acbfd2515776a3796.jpeg
Lenovo N22 Chromebook 80SF001FUS 11.6 inch Intel Celeron N3060 1.6GHz/ 4GB LPDDR3/ 16GB eMMC/ USB3.0/ Chrome Notebook (Black),$124.99,Sold & shipped by JemJemFree delivery,2.3,6 people,https://i5.walmartimages.com/asr/89d26572-9b82-43f5-be25-10f055669dbf_1.e78900a4a6c68a1c26a98c876b14469a.jpeg
"Refurbished Acer C720 Chromebook (11.6-Inch, 2GB)",$114.95,Sold & shipped by CTS WarehouseFree delivery,2.0,8 people,https://i5.walmartimages.com/asr/92d0a188-436c-4667-9052-f0e807c5b777_1.d0f6d0da082f760f130902238521c715.jpeg
HP 11.6 Chromebook 11A-NB0013DX Intel Celeron N3350 4GB Memory 32GB eMMC Flash Memory - Ash Gray,$200.00,Sold & shipped by Tech BotFree delivery,4.1,14 people,https://i5.walmartimages.com/asr/18ab892d-5fd8-483e-bd5c-1ed2b5a4f452.f7aee50bd6da053503e7c63ebc56f225.jpeg
Acer 11.6 inch Chromebook C720 Intel Celeron 2955U (1.40 GHz) 4GB RAM 16GB SSD (Refurbished),$119.99,Pro sellerSold & shipped by The Main Main GuyFree delivery,2.7,23 people,https://i5.walmartimages.com/asr/09fe63dc-15eb-4512-ac40-993a0405ee23.5528736be728d4cba5dfab569ef099c2.jpeg
"Acer Chromebook C720-2103 11.6 inch Intel Celeron 2955U 1.4GHz 2GB 16GB SSD Gray (Refurbished, Scratches)",$113.98,Sold & shipped by PrimeValueIncFree delivery,2.9,41 people,https://i5.walmartimages.com/asr/ba97db26-d5f2-4389-ae0d-e026399513ae_1.8412e6ad242c7fb2152cd4eb2ed8841d.jpeg
"HP 14, Intel Core i3-1005G1, 8GB RAM, 256GB SSD, DIGI CAMO Laptop",$429.00,2-day deliveryon orders $35+Free pickup today,4.3,136 people,https://i5.walmartimages.com/asr/43b20f95-1a66-4b9a-bc4a-439dd77f5e3c.bba846f815843981f02e0ec7ebd93892.jpeg
Refurbished HP 14 inch Ryzen 3 4GB/128GB Laptop-Silver (Google Classroom Compatible),$259.98,Free delivery,4.1,10 people,https://i5.walmartimages.com/asr/b3ef9758-c8c0-458e-b94f-731fc6339303_1.941c839ba2a828bba76f78ae22f8f2b5.jpeg
Apple MacBook Pro MF839LL/A 13.3-Inch Laptop with Retina Display i5 2.7ghz 128GB SSD 8GB memory Grade A Refurbished,$548.99,Sold & shipped by JemJemFree delivery,3.8,23 people,https://i5.walmartimages.com/asr/ae2d18b4-9ac4-46bb-ba9e-b7560198a942_1.b0e04c1e5e055dee1457e30c6aec2616.jpeg
"(Refurbished) Acer C720-2103 11.6 inch LED Chromebook - 4th Gen Intel Celeron Haswell 2955U 1.40GHz, 16 GB SSD, 2 GB Mem, 11.6 inch display (1366 x 768), WebCam, BT 4, 802.11a/b/g/n, Chrome OS - Warranty",$126.98,"Sold & shipped by ASN Depot, Inc.Free delivery",3.8,40 people,https://i5.walmartimages.com/asr/2ae765af-0744-4180-8391-1f5d742b3778_1.56aa0336b23257db54a96c693ba32c55.jpeg
LG gram 15 inch Ultra-Lightweight Laptop with 10th Gen Intel Core Processor w/Intel Iris Plus - 15Z90N-R.AAS9U1,"$1,496.99",Sold & shipped by Beach CameraFree delivery,4.7,10 people,https://i5.walmartimages.com/asr/1d4f9f38-79bc-432c-92ae-8d015af80f00.4434fe247ecd888fdd3a9de611e54b17.jpeg
"Microsoft Surface Pro 7, 12.3 inch Touch-Screen, Intel Core i5-1035G4, 8GB Memory, 256GB SSD, Iris Plus Graphics, Windows Home 10, Matte Black with Black Type Cover, QWV-00007",N/A,Free delivery,4.8,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
Microsoft Surface 12 inch Pro 7 Windows 2-in-1 Computer Intel Core i7 16GB DDR 256GB SSD Platinum VNX-00001 (Type Cover Sold Separately),N/A,Free delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
"HP Envy 15.6 inch Full HD X360, AMD Ryzen 5 4500U, AMD Radeon Graphics, 8GB SDRAM, 256GB SSD, Nightfall Black, Windows 10, 15-ds1010wm",$649.00,2-day deliveryon orders $35+,4.3,397 people,https://i5.walmartimages.com/asr/f5db9bbf-c217-4eb9-9cff-1c248f7e33ba.e1a93deea2ce032c3fac3d8c50e788e1.jpeg
"HP Envy 15.6 inch FHD X360, Intel Core i5-10210U, 8GB SDRAM, 256GB SSD, Natural Silver, Windows 10, 15-dr1070wm",$686.27,2-day deliveryon orders $35+,4.6,104 people,https://i5.walmartimages.com/asr/d106dcd0-0ebd-43fe-8b01-0bb7c9400684.e49cc42095f674c4cc3c3a278e5976f4.jpeg
HP PAVILION 15.6 inch i7 8/512+32 LAPTOP-LUNAR GOLD,$729.00,2-day deliveryon orders $35+Free pickup today,4.8,26 people,https://i5.walmartimages.com/asr/0dc91ead-4d71-4992-a503-b491c853494c.b0e56bdd5402de38a085711ee1001156.jpeg
"HP Pavilion 14 inch Full HD X360, Intel Core i5-1035G1, Intel UHD Graphics, 8GB SDRAM, 256GB SSD, Cloud Blue, Windows 10, 14-dh2041wm",$569.00,2-day deliveryon orders $35+,4.4,454 people,https://i5.walmartimages.com/asr/9bcd7ed5-255f-4bb1-bbbd-4de448195795.81e63ddce6c7356c29c177952549b7d0.jpeg
"Refurbished HP 15-DY1051WM Notebook 15.6 inch HD, i5-1035G1 1GHz, 8GB RAM, 256GB SSD, Win 10, Home Natural Silver",$489.98,Free delivery,4.0,10 people,https://i5.walmartimages.com/asr/1c348472-c425-4981-a76e-d60210e5740b.e25a931c5b7739ae39aa46e6f79ea87d.jpeg
"ASUS ROG GA502 Zephyrus R7 RTX 2060 16GB/512GB Gaming Laptop; 15.6 inch 144Hz FHD Display, AMD Ryzen 7 4800HS, 16GB DDR4, 512GB PCIe NVMe SSD, Nvidia GeForce RTX 2060 Max Q, Win 10 Home, GA502IV-WS74","$1,149.00",2-day deliveryon orders $35+,4.8,138 people,https://i5.walmartimages.com/asr/2f57503c-c67f-49ae-ac4e-b31609eba7a1.a8309f04fbbc16354279f7790d7744bd.jpeg
Refurbished HP 15-cs3055wm Pavilion 15.6 inch FHD i5-1035G1 1.0GHz 8GB RAM 512GB SSD Win 10 Lunar Gold,$489.98,Free delivery,3.4,5 people,https://i5.walmartimages.com/asr/a6af8bef-dd2d-4780-ba02-ad00760078ef_1.ea4c68d696ff635e5fefefd7d4aa3e32.jpeg
HP Pavilion 15.6 inch i5 8/512+32 Laptop - Lunar Gold,$629.00,2-day deliveryon orders $35+Free pickup today,4.9,27 people,https://i5.walmartimages.com/asr/66df331f-4011-4664-bded-736f69f8089a.92c11313f171e5f0458ce633825c9705.jpeg
Microsoft Surface 12 inch Pro 7 Windows 2-in-1 Computer Intel Core i7 16GB DDR 256GB SSD Platinum VNX-00001 (Type Cover Sold Separately),N/A,Free delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
Microsoft Surface 12 inch Pro 7 Windows 2-in-1 Computer Intel Core i7 16GB DDR 1TB HDD Platinum VDX-00001,N/A,Free delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
"Microsoft Surface Pro 7, 12.3 inch Touch-Screen, Intel Core i5-1035G4, 8GB Memory, 128GB SSD, Iris Plus Graphics, Windows 10 home, Platinum, VDV-00001",$684.96,Free delivery,4.2,5 people,https://i5.walmartimages.com/asr/2be09608-5a66-4344-b7ec-d45b4811cccf.978952928c95e91ad7de02bee365dd7d.jpeg
"HP 17-by3063st - Core i3 1005G1 / 1.2 GHz - Windows 10 Home - 8 GB RAM - 128 GB SSD + 1 TB HDD - DVD-Writer - 17.3 inch 1600 x 900 (HD+) - UHD Graphics - Bluetooth, Wi-Fi - natural silver",$573.00,Pro sellerSold & shipped by Lone Star ComputerFree delivery,4.0,1 people,https://i5.walmartimages.com/asr/bd40f363-4d3c-4d2b-81c2-38a44501b888.cb9d365afd1415a2fb4f901d38bbeade.jpeg
"Refurbished Dell Black 14 inch Latitude E5420 Laptop PC with Intel Core i3 Processor, 4GB Memory, 320GB Hard Drive and Windows 7 Professional",$215.00,"Sold & shipped by CL3 Technology, LLCFree delivery",3.4,27 people,https://i5.walmartimages.com/asr/668eed93-4b46-40b8-95ab-46165f722c8f_1.2d6dbfcaa4003bd50f84d6d6200fed14.jpeg
"Dell Chromebook CB1C13 Laptop Computer Chromebook, Intel Celeron, 2GB DDR3 RAM, 16GB SSD Hard Drive, Chrome, 11 inch Screen (Refurbished)",$119.00,"Sold & shipped by Coretek Enterprises, LLCFree delivery",5.0,1 people,https://i5.walmartimages.com/asr/05b85969-ad29-4f89-8b04-f0b857669aec.9d0c783043a8a6b306dfa262ae1c7a83.jpeg
"Microsoft Surface Go 2, 10.5 inch Touch-Screen, Intel Pentium Gold, 4GB Memory, 64GB Storage, Platinum, STV-00001",$399.00,Sold & shipped by Beach CameraFree delivery,4.2,9 people,https://i5.walmartimages.com/asr/6197d527-fe9e-4512-94fc-d44563198209.cf5406f7cd7f62c270867ab45d11d726.jpeg
"MacAir Charger,Replacement 45W T-Tip Magsafe 2 Power Adapter charger for MacAir 11 inch and 13 inch-12 months warranty",$24.38,Sold & shipped by EBKkFree delivery,4.1,21 people,https://i5.walmartimages.com/asr/98e4f94e-1492-449b-85c1-9822a635ebda_1.9efadf9a7989a248e11e6aaf56d3f96f.jpeg
"Refurbished HP 14 inch 14-q029wm Chromebook PC with Intel Celeron 2955U Processor, 4GB Memory, 16GB Solid State Drive and Chrome OS",$199.99,Sold & shipped by Unlock GadgetFree delivery,2.7,6 people,https://i5.walmartimages.com/asr/6b3231ce-4c67-4f4c-a7f2-122b6c38380e.652c2f2179cc60bb84cc0684e6f9e4b7.jpeg
"Acer Chromebook C720-2844 Laptop- 16GBSSD, 4GB RAM, Intel 2955U CPU, Chrome OS",$144.98,"Sold & shipped by ASN Depot, Inc.Free delivery",2.6,23 people,https://i5.walmartimages.com/asr/ca4d54d5-8041-4105-824d-bd01fb65fb33.f0154490a68cac29f30336884d54e5cd.jpeg
Apple Macbook Pro 13.3-inch (Retina) 2.7Ghz Dual Core i5 (Early 2015) MF839LL/A 128GB SSD 8 GB Memory 2560x1600 Display Mac OS X v10.12 Sierra Power Adapter Included (Refurbished),$519.00,Sold & shipped by CTS WarehouseFree delivery,3.4,9 people,https://i5.walmartimages.com/asr/590d4467-e093-4002-8a09-5d1e1b459aaf.22f58ae6be0f9bdce0b129a0e7361f8d.jpeg
"ASUS ROG Zephyrus G14 GA401IV-BR9N6 - Ryzen 9 4900HS / 3 GHz - Windows 10 - 16 GB RAM - 1 TB SSD NVMe - 14 inch 1920 x 1080 (Full HD) @ 120 Hz - GF RTX 2060 - Bluetooth, Wi-Fi - moonlight white","$1,409.99",Sold & shipped by Jay's Buy BoxFree delivery,5.0,3 people,https://i5.walmartimages.com/asr/4e2479f8-9ef5-4fb6-9ebd-1710ff903817.e3d0ceabb8804eb6ea7da6016bf0f508.jpeg
Acer Chromebook C720-2848 Intel Celeron 2955U 4GB RAM 16GB SSD 11.6 inch Chrome OS - Refurbished,$130.97,"Sold & shipped by ASN Depot, Inc.Free delivery",5.0,1 people,https://i5.walmartimages.com/asr/df20d1f6-c93e-4977-b8a8-b1894213a9dd_1.98ae1bf59d822629cd1b6e9862e09c3a.jpeg
"Acer AN5155470KK NITRO 5 15.6 inch, i7-9750H, NVIDIA RTX, 16 GB RAM, 512 GB SSD, Windows 10 Gaming Laptops",N/A,Sold & shipped by Beach CameraFree delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
Refurbished HP 15-cs3075wm Pavilion 15.6 inch FHD i7-1065G7 1.3GHz 8GB RAM 512GB SSD Win 10 Home Lunar Gold,$559.00,Pro sellerSold & shipped by VIPOUTLETFree delivery,4.5,13 people,https://i5.walmartimages.com/asr/c2a09539-170c-4caa-a219-c3f718b016bf_1.dbda266d56c77c2afe28f75be107e295.jpeg
Microsoft Surface 12 inch Pro 7 Windows 2-in-1 Computer Intel Core i7 16GB DDR 1TB HDD Platinum VDX-00001,N/A,Free delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
"Microsoft Surface Laptop 3, 13.5 inch Touch-Screen, Intel Core i5-1035G7, 8GB Memory, 256GB SSD, Iris Plus Graphics 950, Windows 10 Home",$949.00,Sold & shipped by Beach CameraFree delivery,4.6,8 people,https://i5.walmartimages.com/asr/b1fbb874-d49c-4800-8d76-7e1f96a7abc7.c0bec671478530b4a76dae03492ba442.jpeg
"Lenovo ThinkPad T490S Laptop, 14.0 inch FHD IPS Touch  300 nits, i7-8665U,   UHD Graphics, 8GB, 512GB SSD, Win 10 Pro",$949.99,Sold & shipped by LENOVOFree delivery,4.6,1358 people,https://i5.walmartimages.com/asr/36a7d205-073f-4588-92cd-9326ec2344b6.ed33f1767a9c2d48df9ec84071afe000.jpeg
Best Home Fashion Thermal Insulated Backtab Blackout Curtain (Set of 2) 52-in W 72-in L,$32.04,Pro sellerSold & shipped by HayneedleFree delivery,4.7,18 people,https://i5.walmartimages.com/asr/2aeee831-1f5f-42f8-a5fb-047f95ab69b1.c8bc38d13dc9b07ea5032dbf06e0cede.jpeg
"Lenovo Chromebook C340-15 81T9 - Flip design - Core i3 8130U / 2.2 GHz - Chrome OS - 4 GB RAM - 64 GB eMMC - 15.6 inch IPS touchscreen 1920 x 1080 (Full HD) - UHD Graphics 620 - Wi-Fi, Bluetooth - mineral gray - kbd: US",N/A,Sold & shipped by DealsFellowFree delivery,0.0,N/A,https://e7.pngegg.com/pngimages/807/613/png-clipart-computer-icons-jpeg-sold-out-text-warning-sign-thumbnail.png
MSI GF63 Thin 9SCX-005 15.6 inch Gaming Notebook - Core i5-9300H - 8GB RAM - 256GB SSD - NVIDIA GeForce GTX 1650 Max-Q - Windows 10 Home - Black,$699.00,Sold & shipped by Mobile AdvanceFree delivery,4.8,39 people,https://i5.walmartimages.com/asr/e9ba4d59-0bdd-476d-b1c1-2f6b645e61b0_1.b578c4d0a65ee0c1353168d88d401477.jpeg
"Dell ChromeBook 11 Laptop- 16GB SSD, 4GB RAM, Intel Celeron N2840 CPU, Chrome OS- Refurbished",$129.00,"Sold & shipped by Coretek Enterprises, LLCFree delivery",3.8,4 people,https://i5.walmartimages.com/asr/334fa7d2-e1cc-4217-8048-7a855418d3dc.485c0b8685cd2558773b7412c3b0eca2.jpeg
HP All-in-One 22-dd0010 21.5 inch With AMD Athlon Silver 3050U Processo 4GB DDR4 256GB SSD Windows 10 Home All-in-One,$525.99,Pro sellerSold & shipped by Happy TechFree delivery,4.2,21 people,https://i5.walmartimages.com/asr/f98b0b8e-89e0-442d-9c22-f7715c968339.4d0b29e72e6ec81018c4dd45d1444aed.jpeg
"HP Chromebook 14 inch, Intel Celeron 2955U, 4GB RAM, 16GB SSD, Chrome OS, 14-q029wm (Refurbished)",$199.99,Sold & shipped by Unlock GadgetFree delivery,4.2,124 people,https://i5.walmartimages.com/asr/a5eb0139-96b2-43a9-b99f-772a5eb56900.7e836d92687ab47ccb2512a9eed26245.jpeg
"Refurbished Apple MacBook Pro 13.3in Silver | 8GB RAM | 500GB | Wi-Fi | Bundle includes Black Case, Bluetooth Mouse and Headset",$494.95,Pro sellerSold & shipped by Certified 2 Day ExpressFree delivery,3.1,9 people,https://i5.walmartimages.com/asr/78457009-5589-4fd8-ad48-7ce888e1a0ff_2.1f38c6cf2323595b91036061bfedf854.jpeg
"Dell Inspiron 15 3000 Touchscreen Laptop - 10th Gen Intel Core i7-1065G7 - 1080p, 12gb Memory, 1tb Hard Drive, Bluetooth, webcam, Windows 10 - i3593-7098BLK-PUS Notebook PC",$773.00,Pro sellerSold & shipped by Happy TechFree delivery,3.0,2 people,https://i5.walmartimages.com/asr/55956f88-eaf7-4b0a-a0a6-119650c926b0.469c0ae26af906d60d105176af98d65a.jpeg
"ASUS ROG Gaming 17.3 inch FHD, Intel Core i7-10750H, NVIDIA GeForce RTX 2070 Super Graphics, 8GB RAM, 512GB SSD, Original Black, G712LWS-WB74","$1,699.00",2-day deliveryon orders $35+,4.7,12 people,https://i5.walmartimages.com/asr/3da22999-0e82-46ec-accf-ebb49c6bd1a8.1d7040e21b3360fbacbe84907d1b0298.jpeg
